

中天,#genre#
CCTV8,http://223.75.148.190:9910/tsfile/live/0008_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://223.75.148.190:9910/tsfile/live/0009_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://223.75.148.190:9910/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://223.75.148.190:9910/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://223.75.148.190:9910/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://223.75.148.190:9910/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://223.75.148.190:9910/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://223.75.148.190:9910/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8

CCTV1,http://1.24.39.180:808/hls/1/index.m3u8
CCTV2,http://1.24.39.180:808/hls/2/index.m3u8
CCTV3,http://1.24.39.180:808/hls/3/index.m3u8
CCTV4,http://1.24.39.180:808/hls/4/index.m3u8
CCTV5,http://1.24.39.180:808/hls/5/index.m3u8
CCTV6,http://1.24.39.180:808/hls/6/index.m3u8
CCTV7,http://1.24.39.180:808/hls/7/index.m3u8
CCTV8,http://1.24.39.180:808/hls/8/index.m3u8
CCTV9,http://1.24.39.180:808/hls/9/index.m3u8
CCTV10,http://1.24.39.180:808/hls/10/index.m3u8
CCTV11,http://1.24.39.180:808/hls/11/index.m3u8
CCTV12,http://1.24.39.180:808/hls/12/index.m3u8
CCTV13,http://1.24.39.180:808/hls/13/index.m3u8
CCTV14,http://1.24.39.180:808/hls/14/index.m3u8
CCTV15,http://1.24.39.180:808/hls/15/index.m3u8
CCTV16,http://1.24.39.180:808/hls/60/index.m3u8
CCTV17,http://1.24.39.180:808/hls/61/index.m3u8

CCTV1,http://b.tvbox6.icu/tv/ysp.php?id=1
CCTV2,http://b.tvbox6.icu/tv/ysp.php?id=2
CCTV3,http://b.tvbox6.icu/tv/ysp.php?id=3
CCTV4,http://b.tvbox6.icu/tv/ysp.php?id=4
CCTV5,http://b.tvbox6.icu/tv/ysp.php?id=5
CCTV6,http://b.tvbox6.icu/tv/ysp.php?id=7
CCTV7,http://b.tvbox6.icu/tv/ysp.php?id=8
CCTV8,http://b.tvbox6.icu/tv/ysp.php?id=9
CCTV9,http://b.tvbox6.icu/tv/ysp.php?id=10
CCTV10,http://b.tvbox6.icu/tv/ysp.php?id=11
CCTV11,http://b.tvbox6.icu/tv/ysp.php?id=12
CCTV12,http://b.tvbox6.icu/tv/ysp.php?id=13
CCTV13,http://b.tvbox6.icu/tv/ysp.php?id=14
CCTV14,http://b.tvbox6.icu/tv/ysp.php?id=15
CCTV15,http://b.tvbox6.icu/tv/ysp.php?id=16
CCTV16,http://b.tvbox6.icu/tv/ysp.php?id=17
CCTV17,http://b.tvbox6.icu/tv/ysp.php?id=18
CCTV5+,http://b.tvbox6.icu/tv/ysp.php?id=6

CCTV1,http://110.177.144.19:9003/hls/1/index.m3u8?key=txiptv
CCTV2,http://110.177.144.19:9003/hls/2/index.m3u8?key=txiptv
CCTV3,http://110.177.144.19:9003/hls/3/index.m3u8?key=txiptv
CCTV4,http://110.177.144.19:9003/hls/4/index.m3u8?key=txiptv
CCTV5,http://110.177.144.19:9003/hls/5/index.m3u8?key=txiptv
CCTV5+,http://110.177.144.19:9003/hls/6/index.m3u8?key=txiptv
CCTV6,http://110.177.144.19:9003/hls/7/index.m3u8?key=txiptv
CCTV7,http://110.177.144.19:9003/hls/8/index.m3u8?key=txiptv
CCTV8,http://110.177.144.19:9003/hls/9/index.m3u8?key=txiptv
CCTV9,http://110.177.144.19:9003/hls/10/index.m3u8?key=txiptv
CCTV10,http://110.177.144.19:9003/hls/11/index.m3u8?key=txiptv
CCTV11,http://36.46.98.19:8020/rtp/239.112.205.213:5140
CCTV12,http://110.177.144.19:9003/hls/13/index.m3u8?key=txiptv
CCTV13,http://110.177.144.19:9003/hls/14/index.m3u8?key=txiptv
CCTV14,http://110.177.144.19:9003/hls/15/index.m3u8?key=txiptv
CCTV16,http://110.177.144.19:9003/hls/17/index.m3u8?key=txiptv
CCTV17,http://110.177.144.19:9003/hls/18/index.m3u8?key=txiptv

CCTV1,http://tvtj.jxwltx.com:8003/cctv1.m3u8
CCTV3,http://tvtj.jxwltx.com:8003/cctv3.m3u8
CCTV4,http://tvtj.jxwltx.com:8003/cctv4.m3u8
CCTV5,http://tvtj.jxwltx.com:8003/cctv5.m3u8
CCTV6,http://tvtj.jxwltx.com:8003/cctv6.m3u8
CCTV7,http://tvtj.jxwltx.com:8003/cctv7.m3u8
CCTV8,http://tvtj.jxwltx.com:8003/cctv8.m3u8
CCTV9,http://tvtj.jxwltx.com:8003/cctv9.m3u8
CCTV10,http://tvtj.jxwltx.com:8003/cctv10.m3u8
CCTV11,http://tvtj.jxwltx.com:8003/cctv11.m3u8
CCTV12,http://tvtj.jxwltx.com:8003/cctv12.m3u8
CCTV13,http://tvtj.jxwltx.com:8003/cctv13.m3u8
CCTV14,http://tvtj.jxwltx.com:8003/cctv14.m3u8
CCTV15,http://tvtj.jxwltx.com:8003/cctv15.m3u8
CCTV16,http://tvtj.jxwltx.com:8003/cctv5p.m3u8
CCTV17,http://tvtj.jxwltx.com:8003/cctv17.m3u8

